,,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,Duplicate
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Final & SDE
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD1 Satellite,"Marshalltown, IA - UAW Local 893",0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
CD2 Satellite,"Centerville, IA - Centerville Speciality Care",0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
CD4 Satellite,"Manson, IA - Good Samaritan Society - Manson",0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
CD4 Satellite,"Storm Lake, IA - Methodist Manor",0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Cherokee,#6 Cherokee Ward 2,0,8,0,9,0,0,0,0,19.0,0,0.0,0,0,0,0,0.1091,0.0,0.2182,0,0.0,0.0,0,0.4364,0.0,0.0,0.0,0.0,0.0,True
Cherokee,#7 Cherokee Ward 3,0,8,0,9,0,0,0,0,19.0,0,0.0,0,0,0,0,0.1091,0.0,0.2182,0,0.0,0.0,0,0.4364,0.0,0.0,0.0,0.0,0.0,True
Decatur,BU/HA/MO/NB/Davis City/Pleasanton,0,0,0,2,0,0,2,0,2.0,0,2.0,0,0,0,0,0.0,0.0,0.0471,0,0.0,0.0471,0,0.0471,0.0,0.0471,0.0,0.0,0.0,True
Decatur,DE/Decatur City,0,0,0,2,0,0,2,0,2.0,0,2.0,0,0,0,0,0.0,0.0,0.0471,0,0.0,0.0471,0,0.0471,0.0,0.0471,0.0,0.0,0.0,True
Scott,(B52) City of Bettendorf,0,79,0,111,0,0,80,0,81.0,0,0.0,0,0,0,0,0.8267,0.0,1.24,0,0.0,0.8267,0,1.24,0.0,0.0,0.0,0.0,0.0,True
Scott,(BG) Blue Grass Township,0,18,0,18,0,0,0,0,40.0,0,18.0,0,0,0,0,0.4133,0.0,0.4133,0,0.0,0.0,0,0.8267,0.0,0.4133,0.0,0.0,0.0,True
Scott,(D31) City of Davenport,0,18,0,18,0,0,0,0,40.0,0,18.0,0,0,0,0,0.4133,0.0,0.4133,0,0.0,0.0,0,0.8267,0.0,0.4133,0.0,0.0,0.0,True
Scott,(D52) City of Davenport,0,79,0,111,0,0,80,0,81.0,0,0.0,0,0,0,0,0.8267,0.0,1.24,0,0.0,0.8267,0,1.24,0.0,0.0,0.0,0.0,0.0,True
Woodbury,Sioux City 05,0,41,0,25,0,0,0,0,32.0,0,0.0,0,0,0,0,0.85,0.0,0.425,0,0.0,0.0,0,0.6375,0.0,0.0,0.0,0.0,0.0,True
Woodbury,Sioux City 20,0,41,0,25,0,0,0,0,32.0,0,0.0,0,0,0,0,0.85,0.0,0.425,0,0.0,0.0,0,0.6375,0.0,0.0,0.0,0.0,0.0,True
